,braunlage,braunschweig,norderney,wind_onshore_mps,wind_offshore_mps,pf_onshore,pf_offshore,gen_onshore_mw,gen_offshore_mw,gen_total_mw,energy_onshore_mwh,energy_offshore_mwh,energy_total_mwh
2021-09-08 00:00:00,2.83243759856547,3.28307123679285,7.4061433766253755,4.507217403994566,7.4061433766253755,0.004696779509007446,0.1173406114245095,61.0581336170968,821.3842799715665,882.4424135886633,61.0581336170968,821.3842799715665,882.4424135886633
2021-09-08 01:00:00,2.6731398897943968,3.3461121384383534,7.6450512274842595,4.554767751905669,7.6450512274842595,0.005155479261342734,0.13748141566256836,67.02123039745554,962.3699096379785,1029.391140035434,67.02123039745554,962.3699096379785,1029.391140035434
2021-09-08 02:00:00,2.696825881378144,3.3962525742608434,7.764505152913701,4.619194536184229,7.764505152913701,0.005823305315219241,0.14836309160773997,75.70296909785014,1038.5416412541797,1114.24461035203,75.70296909785014,1038.5416412541797,1114.24461035203
2021-09-08 03:00:00,2.744639020457942,3.323362756693729,7.167235525766493,4.411745767639388,7.167235525766493,0.003859596953419562,0.09926967775894574,50.1747603944543,694.8877443126202,745.0625047070745,50.1747603944543,694.8877443126202,745.0625047070745
2021-09-08 04:00:00,2.6115848838371094,3.410148315687515,6.450511973189845,4.15741505757149,6.450511973189845,0.0021268646642515804,0.05635378463061294,27.649240635270544,394.4764924142906,422.1257330495611,27.649240635270544,394.4764924142906,422.1257330495611
2021-09-08 05:00:00,2.6527639708690867,3.459293475906348,6.450511973189845,4.187523139988426,6.450511973189845,0.0022971995086152218,0.05635378463061294,29.86359361199788,394.4764924142906,424.3400860262885,29.86359361199788,394.4764924142906,424.3400860262885
2021-09-08 06:00:00,2.5514549648562954,3.6902481134809637,6.450511973189845,4.230738350509035,6.450511973189845,0.0025572293052177173,0.05635378463061294,33.243980967830325,394.4764924142906,427.72047338212093,33.243980967830325,394.4764924142906,427.72047338212093
2021-09-08 07:00:00,2.788003288253152,4.055097630092016,6.928327674907609,4.590476197750926,6.928327674907609,0.005518918667182484,0.08315638310921575,71.7459426733723,582.0946817645103,653.8406244378825,71.7459426733723,582.0946817645103,653.8406244378825
2021-09-08 08:00:00,3.401537460758806,4.468877454747637,5.494880569754311,4.455098495086918,5.494880569754311,0.00422619611389739,0.021302067370323325,54.94054948066608,149.11447159226327,204.05502107292935,54.94054948066608,149.11447159226327,204.05502107292935
2021-09-08 09:00:00,4.192716817350208,4.744620576198282,5.255972718895428,4.7311033708146395,5.255972718895428,0.00711609074804336,0.015749762244918534,92.50917972456368,110.24833571442974,202.75751543899344,92.50917972456368,110.24833571442974,202.75751543899344
