,energy_onshore_mwh,energy_offshore_mwh,energy_total_mwh
2021-04-25,2897.6810172389064,8535.639297591963,11433.32031483087
2021-04-26,7012.373146700076,13529.695810757976,20542.06895745805
2021-04-27,5200.506308717143,6579.997488297106,11780.50379701425
2021-04-28,573.2834894029905,372.4732709068787,945.7567603098693
2021-04-29,1536.1215959587655,207.89108026203513,1744.0126762208006
2021-04-30,2404.4594664000115,1044.7154155962735,3449.174881996285
2021-05-01,1706.00773419488,375.3435151327453,2081.3512493276253
2021-05-02,5806.948771260959,11685.168309868364,17492.117081129323
2021-05-03,14225.540671399596,60631.96719511383,74857.50786651342
2021-05-04,32734.047468409484,124435.6396590352,157169.6871274447
2021-05-05,23712.949723935722,113422.21755140155,137135.16727533727
2021-05-06,24897.623778691042,104057.96987010422,128955.59364879527
2021-05-07,8483.064152784844,46309.32626852942,54792.39042131426
2021-05-08,7514.966439823374,24231.066102843633,31746.032542667006
2021-05-09,4779.445365837954,11265.927276541988,16045.372642379942
2021-05-10,3165.4877847199373,4132.647972245061,7298.135756964998
2021-05-11,8121.061121891468,18052.089345205204,26173.15046709667
2021-05-12,14433.42907967751,33524.03170703729,47957.4607867148
2021-05-13,9815.260355461543,22697.411918705126,32512.67227416667
2021-05-14,16796.751705237504,80291.15803903149,97087.90974426901
2021-05-15,19106.35933350329,114376.20392002864,133482.56325353193
2021-05-16,11339.931789730663,53763.74984026402,65103.68162999468
2021-05-17,15308.196816410435,62540.17592344372,77848.37273985415
2021-05-18,5120.699058976327,16426.494748848814,21547.193807825144
2021-05-19,2204.2506832207923,4018.2854530296972,6222.536136250489
2021-05-20,5571.390777726137,21853.119637332304,27424.51041505844
2021-05-21,32643.01601792001,154719.3461229379,187362.36214085788
2021-05-22,48069.208810080054,158188.79829683455,206258.0071069146
2021-05-23,18996.248330118764,97271.13568034874,116267.38401046752
2021-05-24,6302.483645716678,21090.546683679375,27393.030329396057
2021-05-25,13001.920294744334,47846.037232991555,60847.95752773589
2021-05-26,8986.95507909102,28467.07114395137,37454.02622304239
2021-05-27,11116.736666792527,44710.40560165224,55827.14226844476
2021-05-28,7118.762176180424,25854.821447616392,32973.58362379682
2021-05-29,6335.634733045175,23282.84772733871,29618.482460383886
2021-05-30,8976.901650098383,38595.46860327439,47572.37025337278
2021-05-31,1015.4826382078037,248.8673661893903,1264.350004397194
2021-06-01,6822.236979039969,26218.807126362033,33041.044105402
2021-06-02,9630.815184012234,33970.71317603141,43601.528360043645
2021-06-03,5921.804049280432,13381.912674153598,19303.71672343403
2021-06-04,7067.038504278462,32107.166475963804,39174.20498024226
2021-06-05,3988.317058991194,11174.750210777172,15163.067269768366
2021-06-06,16675.84794136499,83902.25195613051,100578.09989749551
2021-06-07,2839.491875707569,2825.2418561580253,5664.733731865595
2021-06-08,19014.95745739939,96812.85941126235,115827.81686866174
2021-06-09,6567.773737612519,35136.20834776835,41703.98208538086
2021-06-10,25618.356891041087,94869.08881513537,120487.44570617646
2021-06-11,2996.900146656482,20878.729698403928,23875.62984506041
2021-06-12,4951.614092873097,8217.556691392258,13169.170784265356
2021-06-13,3820.376034551142,10532.044453626191,14352.420488177333
2021-06-14,1596.2343301361327,3799.855805913822,5396.090136049955
2021-06-15,7234.913089628596,38621.22841906434,45856.141508692934
2021-06-16,5917.819732878559,27772.93368860343,33690.75342148199
2021-06-17,2611.4082282522336,5229.666301915859,7841.074530168093
2021-06-18,3688.300527981161,10577.042581029538,14265.3431090107
2021-06-19,4303.153067760314,22037.036270165027,26340.189337925338
2021-06-20,861.0199108812475,194.1114030037986,1055.1313138850462
2021-06-21,1825.6878242925025,2543.7632241645038,4369.451048457006
2021-06-22,4347.648534008903,8689.737916070077,13037.38645007898
2021-06-23,40953.65169745398,128467.17945414277,169420.83115159674
2021-06-24,14453.39409566823,96387.16046858771,110840.55456425594
2021-06-25,4103.142654069384,18520.668266084587,22623.81092015397
2021-06-26,3147.832579015506,20192.984757798415,23340.817336813918
2021-06-27,7749.436608042587,55285.622067223994,63035.05867526658
2021-06-28,6861.629474690469,20568.952807129677,27430.582281820145
2021-06-29,5334.009499633687,12182.062627739388,17516.072127373074
2021-06-30,4573.311239269632,12153.239925341302,16726.551164610933
2021-07-01,1252.3944617350758,1666.1674426192876,2918.5619043543634
2021-07-02,2722.4595275949755,19164.734788002796,21887.19431559777
2021-07-03,10655.811077299031,65499.765274282705,76155.57635158174
2021-07-04,7424.134116552366,22038.754657915415,29462.88877446778
2021-07-05,4322.646944457507,48363.851700571184,52686.49864502869
2021-07-06,4044.948930414872,13747.268232575221,17792.21716299009
2021-07-07,19034.829736599615,96262.89762054627,115297.7273571459
2021-07-08,18686.29799405498,130795.70206328173,149482.0000573367
2021-07-09,7583.333657675918,28791.352237380524,36374.68589505644
2021-07-10,4647.237994944923,16120.922386084318,20768.16038102924
2021-07-11,4854.257431083007,21712.495885592467,26566.753316675473
2021-07-12,12779.335288320226,59914.57906510049,72693.91435342071
2021-07-13,2646.765914798686,6346.652189425321,8993.418104224007
2021-07-14,1127.8762317527398,147.10783405770485,1274.9840658104447
2021-07-15,5561.871199237674,18759.1862977395,24321.057496977173
2021-07-16,2569.4080376407123,8658.33249952207,11227.740537162783
2021-07-17,15939.08730884407,89340.61434996163,105279.7016588057
2021-07-18,651.9785939766532,2830.171928312854,3482.150522289507
2021-07-19,6638.163736197157,17932.765300711566,24570.92903690872
2021-07-20,1152.5469479771962,1918.3942115983953,3070.9411595755914
2021-07-21,2131.98543734881,2237.774210447152,4369.759647795962
2021-07-22,7099.045577102539,52916.51451424409,60015.56009134663
2021-07-23,14686.932192738166,131755.66968966185,146442.60188240002
2021-07-24,6714.467830126935,40818.459664179485,47532.92749430642
2021-07-25,5271.82735647634,34539.44091300103,39811.268269477376
2021-07-26,684.8069365654461,668.4025080191029,1353.2094445845491
2021-07-27,5543.367654005368,34491.92845704415,40035.296111049516
2021-07-28,6599.971547624971,46235.23521344287,52835.20676106784
2021-07-29,15077.442155950732,110545.89337556616,125623.33553151689
2021-07-30,32839.293077753166,153039.60072125704,185878.89379901023
2021-07-31,20025.779361581102,112122.22297662274,132148.00233820383
2021-08-01,5527.93255616784,32063.01949818364,37590.95205435148
2021-08-02,25029.108238147513,117479.8632746538,142508.9715128013
2021-08-03,12023.391505497832,94857.53066126877,106880.9221667666
2021-08-04,8123.438815536216,72193.47806407252,80316.91687960875
2021-08-05,26373.487189172727,165877.76930874182,192251.25649791452
2021-08-06,9985.869795944196,76549.8060376767,86535.6758336209
2021-08-07,1773.3142769358774,2474.618028377758,4247.932305313636
2021-08-08,4451.633729619293,11369.566662436087,15821.200392055382
2021-08-09,3897.874522433035,31345.908500582816,35243.78302301585
2021-08-10,4671.877521839344,16647.399227549166,21319.276749388508
2021-08-11,541.4026115179765,62.326329908429194,603.7289414264056
2021-08-12,3575.423000447931,6621.275609958023,10196.698610405952
2021-08-13,886.8433385237028,842.2556464219,1729.0989849456028
2021-08-14,4593.756022095911,18286.333760701982,22880.089782797895
2021-08-15,5562.539250048805,30231.48858532922,35794.02783537802
2021-08-16,12770.377404100062,94553.11302456938,107323.49042866944
2021-08-17,6275.929954319229,58750.86694085024,65026.79689516947
2021-08-18,1254.3264874399215,2365.426162410162,3619.752649850083
2021-08-19,3223.4969019692576,19956.09482983092,23179.591731800178
2021-08-20,9986.3351554092,68441.31104855995,78427.64620396915
2021-08-21,13346.337004444398,92665.65451958685,106011.99152403125
2021-08-22,12975.14390729791,113015.21515673248,125990.35906403039
2021-08-23,20233.23158702098,129388.36115932158,149621.59274634256
2021-08-24,3665.775888382322,19042.365534843237,22708.14142322556
2021-08-25,780.3731990342934,2471.003108334339,3251.3763073686323
2021-08-26,1233.3307276297053,953.7009606457706,2187.031688275476
2021-08-27,1803.0007285883253,2726.8038549967596,4529.804583585084
2021-08-28,815.4282213367052,1219.2531406553526,2034.6813619920576
2021-08-29,1409.4871658488773,2574.588584709364,3984.0757505582415
2021-08-30,2229.053565609696,5408.88207128089,7637.9356368905865
2021-08-31,2593.7462037142063,9082.767841083609,11676.514044797814
2021-09-01,1391.3052368126594,1279.0449499427461,2670.3501867554055
2021-09-02,2452.4767240751376,5506.441759891638,7958.918483966775
2021-09-03,11325.84299556717,51891.08014502227,63216.92314058944
2021-09-04,3620.651718712172,14586.580136648527,18207.2318553607
2021-09-05,6779.153368168626,18969.547266897847,25748.700635066474
2021-09-06,1363.0440741013515,1969.167150122858,3332.211224224209
2021-09-07,5002.786819150963,16077.536816447124,21080.323635598088
2021-09-08,1324.0525039536003,7205.234601541187,8529.287105494788
2021-09-09,6838.551548401148,25217.487383222302,32056.038931623447
2021-09-10,1230.5193577687933,973.0549199895999,2203.5742777583932
2021-09-11,8307.065151592024,29027.872104939714,37334.93725653174
2021-09-12,11290.6930961488,46526.63921203952,57817.33230818831
2021-09-13,6545.70965288841,18465.24050301964,25010.95015590805
2021-09-14,3556.8184910103882,7882.970906604663,11439.78939761505
2021-09-15,29951.09220925816,128536.31260670145,158487.4048159596
2021-09-16,16376.204311073972,94392.3383798018,110768.54269087577
2021-09-17,13111.364536640962,95506.65890194087,108618.02343858183
2021-09-18,7589.075748853752,28647.57297227322,36236.64872112697
2021-09-19,2673.1839119208666,7653.347744489755,10326.531656410622
2021-09-20,3464.900297261533,10013.678715401362,13478.579012662894
2021-09-21,10389.826797331656,48944.770265675565,59334.59706300722
2021-09-22,4989.13487856609,19396.85365201671,24385.9885305828
2021-09-23,1740.024800215921,5333.352741039325,7073.377541255246
2021-09-24,5991.912400241195,22225.78930665666,28217.701706897857
2021-09-25,5623.982498829739,27456.21376923947,33080.19626806921
2021-09-26,2834.7422480212963,12968.303413912976,15803.045661934273
2021-09-27,9533.004918806146,68224.4599729423,77757.46489174846
2021-09-28,7668.538610441526,52014.55441087204,59683.093021313565
2021-09-29,896.5420659843099,2318.4455542505243,3214.987620234834
2021-09-30,3256.6986254115786,8565.866242429292,11822.56486784087
2021-10-01,1826.5941274530187,2646.3113524691294,4472.905479922148
2021-10-02,9449.61125427097,28359.73184087866,37809.343095149634
2021-10-03,15901.57755682812,62952.321001881865,78853.89855870999
2021-10-04,8157.278905210582,24157.949437750525,32315.22834296111
2021-10-05,16073.882233970777,79106.58472620892,95180.46696017969
2021-10-06,8980.901254919576,31789.001986623236,40769.90324154281
2021-10-07,3467.091809511895,4215.994678241784,7683.086487753679
2021-10-08,1872.2036228550355,2715.902188622656,4588.1058114776915
2021-10-09,3363.236651903578,7854.153221047979,11217.389872951557
2021-10-10,18479.47335733706,98865.94746805653,117345.4208253936
2021-10-11,7655.754563721239,33291.810023658414,40947.56458737965
2021-10-12,5616.556238452085,16438.387458056535,22054.94369650862
2021-10-13,12214.603238030868,101239.21551369099,113453.81875172186
2021-10-14,3235.0069688857516,13474.424807275018,16709.431776160767
2021-10-15,2754.494712265912,10824.238239345303,13578.732951611215
2021-10-16,10929.973137482097,70692.75042076924,81622.72355825134
2021-10-17,5351.735977041897,30988.980970732027,36340.71694777392
2021-10-18,1218.9814135594245,741.4626670811388,1960.4440806405632
2021-10-19,2286.352393276768,1952.498494153086,4238.850887429854
2021-10-20,7169.4120779067425,17922.016649165584,25091.428727072325
2021-10-21,6484.505928065961,19511.51657108446,25996.022499150422
2021-10-22,4458.359816578484,8097.564180157068,12555.923996735552
2021-10-23,3831.1629607393947,6173.909835081243,10005.072795820637
2021-10-24,16714.368087046147,72656.25720263126,89370.6252896774
2021-10-25,13732.312125160288,44031.10668237334,57763.41880753363
2021-10-26,23939.79022425159,104324.50153136007,128264.29175561166
2021-10-27,16726.636723270825,74890.7336055895,91617.37032886031
2021-10-28,18257.093048773804,72280.99329878874,90538.08634756255
2021-10-29,4129.476087527935,6134.320622567046,10263.79671009498
2021-10-30,8666.208869211265,40552.3951433053,49218.60401251657
2021-10-31,4440.050276714888,11175.971201625038,15616.021478339926
2021-11-01,9426.545384591329,26065.581529716714,35492.12691430804
2021-11-02,4510.640767045354,11704.701173464833,16215.341940510187
2021-11-03,3009.8368467120795,3888.5610655946753,6898.397912306755
2021-11-04,2310.7716716847403,2636.846386851035,4947.618058535775
2021-11-05,2828.564841842226,1941.246929799796,4769.811771642022
2021-11-06,1432.9023213445212,76.76613391221284,1509.6684552567342
2021-11-07,914.5318762028407,243.40699958270667,1157.9388757855475
2021-11-08,1094.0733969933233,1122.7929364124168,2216.86633340574
2021-11-09,1553.5806053569086,318.67825436169704,1872.2588597186057
2021-11-10,3089.13219816097,2642.907071427347,5732.0392695883165
2021-11-11,27076.45994183678,93977.88140947671,121054.34135131349
2021-11-12,5985.931083172005,10061.75541428521,16047.686497457215
2021-11-13,9803.345386687188,26838.30379916248,36641.64918584967
2021-11-14,20115.655492205446,87719.48601332256,107835.14150552801
