"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/01/2022 07:00:00 - 06/01/2022 08:00:00","BZN|PT","Without Sequence","216.14","",""
"06/01/2022 08:00:00 - 06/01/2022 09:00:00","BZN|PT","Without Sequence","219.42","",""
"06/01/2022 09:00:00 - 06/01/2022 10:00:00","BZN|PT","Without Sequence","220.00","",""
"06/01/2022 10:00:00 - 06/01/2022 11:00:00","BZN|PT","Without Sequence","214.90","",""
"06/01/2022 11:00:00 - 06/01/2022 12:00:00","BZN|PT","Without Sequence","207.90","",""
"06/01/2022 12:00:00 - 06/01/2022 13:00:00","BZN|PT","Without Sequence","205.00","",""
"06/01/2022 13:00:00 - 06/01/2022 14:00:00","BZN|PT","Without Sequence","204.43","",""
"06/01/2022 14:00:00 - 06/01/2022 15:00:00","BZN|PT","Without Sequence","196.84","",""
"06/01/2022 15:00:00 - 06/01/2022 16:00:00","BZN|PT","Without Sequence","189.89","",""
"06/01/2022 16:00:00 - 06/01/2022 17:00:00","BZN|PT","Without Sequence","202.17","",""
"06/01/2022 17:00:00 - 06/01/2022 18:00:00","BZN|PT","Without Sequence","222.31","",""
"06/01/2022 18:00:00 - 06/01/2022 19:00:00","BZN|PT","Without Sequence","273.44","",""
"06/01/2022 19:00:00 - 06/01/2022 20:00:00","BZN|PT","Without Sequence","278.36","",""
"06/01/2022 20:00:00 - 06/01/2022 21:00:00","BZN|PT","Without Sequence","251.71","",""
"06/01/2022 21:00:00 - 06/01/2022 22:00:00","BZN|PT","Without Sequence","229.96","",""
"06/01/2022 22:00:00 - 06/01/2022 23:00:00","BZN|PT","Without Sequence","216.44","",""
"06/01/2022 23:00:00 - 07/01/2022 00:00:00","BZN|PT","Without Sequence","210.00","",""
"07/01/2022 00:00:00 - 07/01/2022 01:00:00","BZN|PT","Without Sequence","213.47","",""
"07/01/2022 01:00:00 - 07/01/2022 02:00:00","BZN|PT","Without Sequence","189.00","",""
"07/01/2022 02:00:00 - 07/01/2022 03:00:00","BZN|PT","Without Sequence","180.00","",""
"07/01/2022 03:00:00 - 07/01/2022 04:00:00","BZN|PT","Without Sequence","164.90","",""
"07/01/2022 04:00:00 - 07/01/2022 05:00:00","BZN|PT","Without Sequence","162.80","",""
"07/01/2022 05:00:00 - 07/01/2022 06:00:00","BZN|PT","Without Sequence","165.00","",""
"07/01/2022 06:00:00 - 07/01/2022 07:00:00","BZN|PT","Without Sequence","165.20","",""
"07/01/2022 07:00:00 - 07/01/2022 08:00:00","BZN|PT","Without Sequence","215.89","",""
"07/01/2022 08:00:00 - 07/01/2022 09:00:00","BZN|PT","Without Sequence","243.84","",""
"07/01/2022 09:00:00 - 07/01/2022 10:00:00","BZN|PT","Without Sequence","250.01","",""
"07/01/2022 10:00:00 - 07/01/2022 11:00:00","BZN|PT","Without Sequence","240.00","",""
"07/01/2022 11:00:00 - 07/01/2022 12:00:00","BZN|PT","Without Sequence","232.53","",""
"07/01/2022 12:00:00 - 07/01/2022 13:00:00","BZN|PT","Without Sequence","216.28","",""
"07/01/2022 13:00:00 - 07/01/2022 14:00:00","BZN|PT","Without Sequence","211.94","",""
"07/01/2022 14:00:00 - 07/01/2022 15:00:00","BZN|PT","Without Sequence","207.05","",""
"07/01/2022 15:00:00 - 07/01/2022 16:00:00","BZN|PT","Without Sequence","210.11","",""
"07/01/2022 16:00:00 - 07/01/2022 17:00:00","BZN|PT","Without Sequence","220.21","",""
"07/01/2022 17:00:00 - 07/01/2022 18:00:00","BZN|PT","Without Sequence","243.84","",""
"07/01/2022 18:00:00 - 07/01/2022 19:00:00","BZN|PT","Without Sequence","260.00","",""
"07/01/2022 19:00:00 - 07/01/2022 20:00:00","BZN|PT","Without Sequence","250.00","",""
"07/01/2022 20:00:00 - 07/01/2022 21:00:00","BZN|PT","Without Sequence","243.84","",""
"07/01/2022 21:00:00 - 07/01/2022 22:00:00","BZN|PT","Without Sequence","243.84","",""
"07/01/2022 22:00:00 - 07/01/2022 23:00:00","BZN|PT","Without Sequence","235.69","",""
"07/01/2022 23:00:00 - 08/01/2022 00:00:00","BZN|PT","Without Sequence","215.10","",""
"08/01/2022 00:00:00 - 08/01/2022 01:00:00","BZN|PT","Without Sequence","270.02","",""
"08/01/2022 01:00:00 - 08/01/2022 02:00:00","BZN|PT","Without Sequence","237.86","",""
"08/01/2022 02:00:00 - 08/01/2022 03:00:00","BZN|PT","Without Sequence","215.89","",""
"08/01/2022 03:00:00 - 08/01/2022 04:00:00","BZN|PT","Without Sequence","211.44","",""
"08/01/2022 04:00:00 - 08/01/2022 05:00:00","BZN|PT","Without Sequence","200.90","",""
"08/01/2022 05:00:00 - 08/01/2022 06:00:00","BZN|PT","Without Sequence","200.00","",""
"08/01/2022 06:00:00 - 08/01/2022 07:00:00","BZN|PT","Without Sequence","201.36","",""
"08/01/2022 07:00:00 - 08/01/2022 08:00:00","BZN|PT","Without Sequence","209.09","",""
"08/01/2022 08:00:00 - 08/01/2022 09:00:00","BZN|PT","Without Sequence","215.89","",""
"08/01/2022 09:00:00 - 08/01/2022 10:00:00","BZN|PT","Without Sequence","231.00","",""
"08/01/2022 10:00:00 - 08/01/2022 11:00:00","BZN|PT","Without Sequence","228.95","",""
"08/01/2022 11:00:00 - 08/01/2022 12:00:00","BZN|PT","Without Sequence","215.39","",""
"08/01/2022 12:00:00 - 08/01/2022 13:00:00","BZN|PT","Without Sequence","206.68","",""
"08/01/2022 13:00:00 - 08/01/2022 14:00:00","BZN|PT","Without Sequence","185.00","",""
"08/01/2022 14:00:00 - 08/01/2022 15:00:00","BZN|PT","Without Sequence","169.52","",""
"08/01/2022 15:00:00 - 08/01/2022 16:00:00","BZN|PT","Without Sequence","162.80","",""
"08/01/2022 16:00:00 - 08/01/2022 17:00:00","BZN|PT","Without Sequence","161.73","",""
"08/01/2022 17:00:00 - 08/01/2022 18:00:00","BZN|PT","Without Sequence","189.90","",""
"08/01/2022 18:00:00 - 08/01/2022 19:00:00","BZN|PT","Without Sequence","206.68","",""
"08/01/2022 19:00:00 - 08/01/2022 20:00:00","BZN|PT","Without Sequence","210.00","",""
"08/01/2022 20:00:00 - 08/01/2022 21:00:00","BZN|PT","Without Sequence","210.00","",""
"08/01/2022 21:00:00 - 08/01/2022 22:00:00","BZN|PT","Without Sequence","209.37","",""
"08/01/2022 22:00:00 - 08/01/2022 23:00:00","BZN|PT","Without Sequence","185.30","",""
"08/01/2022 23:00:00 - 09/01/2022 00:00:00","BZN|PT","Without Sequence","168.80","",""
"09/01/2022 00:00:00 - 09/01/2022 01:00:00","BZN|PT","Without Sequence","109.18","",""
"09/01/2022 01:00:00 - 09/01/2022 02:00:00","BZN|PT","Without Sequence","89.61","",""
"09/01/2022 02:00:00 - 09/01/2022 03:00:00","BZN|PT","Without Sequence","80.24","",""
"09/01/2022 03:00:00 - 09/01/2022 04:00:00","BZN|PT","Without Sequence","55.46","",""
"09/01/2022 04:00:00 - 09/01/2022 05:00:00","BZN|PT","Without Sequence","45.82","",""
"09/01/2022 05:00:00 - 09/01/2022 06:00:00","BZN|PT","Without Sequence","48.50","",""
